 ,Area,Mean,Min,Max,Length
1,1216,89.905,26.573,152.313,1118.585
2,675,117.365,53.115,195.667,613.086
3,652,135.720,91.333,211.120,603.869
4,1261,115.354,60.313,174.707,1161.154
5,570,93.417,52.084,216.037,534.273
6,623,115.451,64.293,159.740,578.779
7,1084,70.949,33.547,240.667,1010.825
8,1027,89.059,42.000,192.827,919.792
9,1835,129.731,79.550,161.333,1659.590
10,283,131.062,100.947,162.667,278.981
11,1249,87.946,49.000,239.000,1103.056
12,997,163.470,117.660,205.123,924.669
13,1407,108.585,88.112,133.937,1324.245
14,424,119.642,91.667,154.580,394.054
15,237,118.764,84.033,154.173,219.195
16,363,113.187,61.333,145.163,328.230
17,235,83.430,28.000,129.000,205.047
18,658,90.123,45.100,160.333,613.054
19,674,119.106,89.664,148.227,633.094
20,462,92.017,56.387,128.880,429.648
21,748,133.871,100.600,179.613,662.828
22,689,150.650,95.200,201.283,657.915
23,410,113.626,61.333,196.333,367.863
24,375,90.799,49.333,137.000,324.808
25,1118,116.607,44.333,166.560,1038.907
