 ,Area,Mean,Min,Max,Length
1,1186,116.149,66.667,165.667,1083.982
2,329,116.190,72.667,190.085,298.536
3,283,173.128,123.000,200.560,259.342
4,292,94.473,72.387,128.467,269.232
5,617,83.733,47.753,116.007,570.775
6,1787,132.249,101.233,164.267,1645.385
7,1924,124.765,88.093,166.407,1756.310
8,905,158.187,113.140,207.667,809.358
9,1332,143.876,83.333,233.667,1192.310
10,815,125.867,87.500,162.333,739.027
11,2141,141.689,90.000,206.233,1847.769
12,1399,115.176,50.349,215.700,1267.493
13,510,139.660,93.667,167.333,468.990
14,931,84.035,41.343,149.373,856.095
15,494,150.122,108.057,195.613,455.189
16,331,103.720,47.333,182.433,297.304
17,1134,130.767,105.333,155.860,1032.082
18,1468,89.345,39.333,133.920,1303.183
19,478,144.329,69.667,216.333,438.231
20,517,154.296,93.097,202.850,471.320
21,616,90.739,53.000,167.850,550.412
22,1110,111.660,76.040,163.569,1021.501
23,1074,90.517,39.667,180.000,981.975
24,1043,132.987,47.013,227.960,954.394
25,1009,143.972,103.640,196.523,938.184
